Protokoll O O O O
über O O O O
die O O O O
37. O O O O
Sitzung O O O O
des O O O O
Stadtverordneten-Collegiums O O O O
der O O O O
k. O O O O
Hauptstadt O O O O
Olmütz O O O O
am O O O O
12. O O O O
September O O O O
1884 O O O O
unter O O O O
dem O O O O
Vorsitze O O O O
des O O O O
Herrn O O O O
Bürgermeisters O O O O
Josef O O O O
v. O O O O
Engel O O O O
in O O O O
Gegenwart O O O O
der O O O O
Herren O O O O
Stadtverordneten O O O O
: O O O O
Aust O O O O
, O O O O
Borrée O O O O
, O O O O
Brandhuber O O O O
, O O O O
Domes O O O O
, O O O O
Englisch O O O O
, O O O O
Hartwich O O O O
, O O O O
Hübl O O O O
, O O O O
Dr. O O O O
Kutscha O O O O
, O O O O
Lang O O O O
, O O O O
Mžik O O O O
, O O O O
Nather O O O O
, O O O O
Niemetz O O O O
, O O O O
Nietsche O O O O
, O O O O
Richter O O O O
, O O O O
Dr. O O O O
Schöffl O O O O
, O O O O
Steyskal O O O O
, O O O O
Trenkler O O O O
, O O O O
und O O O O
Wödl O O O O
. O O O O
Entschuldigt O O O O
waren O O O O
die O O O O
Herren O O O O
: O O O O
Vice-Bürgermeister O O O O
Wallenda O O O O
, O O O O
Dr. O O O O
Bayer O O O O
, O O O O
Gerl O O O O
, O O O O
Kottas O O O O
, O O O O
Opila O O O O
, O O O O
Primavesi O O O O
, O O O O
Dir O O O O
. O O O O
Thannabaur O O O O
, O O O O
und O O O O
Zbitek O O O O
. O O O O
Das O O reported O
Protokoll O O reported O
über O O reported O
die O O reported O
Sitzung O O reported O
vom O O reported O
9. O O reported O
Sept. O O reported O
1884 O O reported O
wurde O O reported O
vorgelesen O O reported O
und O O reported O
bestätigt O O reported O
. O O reported O
Referent O O O O
Herr O O O O
Dr. O O O O
Kutscha O O O O
. O O O O
Nr. O O O O
1660 O O O O
W. O O O O
— O O O O
Fortsetzung O O O O
des O O O O
Berichtes O O O O
der O O O O
3. O O O O
Section O O O O
betreffend O O O O
die O O O O
Regulirung O O O O
des O O O O
Beamtenpersonales O O O O
. O O O O
Nach O O reported O
erstattetem O O reported O
Vortrage O O reported O
in O O reported O
betreff O O reported O
des O O reported O
Forstamtes O O reported O
überreichte O O O O
Herr O O O O
Wödl O O O O
einen O O reported O
schriftlichen O O reported O
Gegenantrag O O reported O
, O O reported O
wornach O O reported O
die O O reported O
Anstellung O O reported O
eines O O reported O
Forstamtsleiters O O reported O
mit O O reported O
dem O O reported O
Sitze O O reported O
in O O reported O
Olmütz O O reported O
, O O reported O
ein O O reported O
Jahresgehalt O O reported O
von O O reported O
1500 O O reported O
fl O O reported O
. O O reported O
nebst O O reported O
36 O O reported O
Rmtr O O reported O
. O O reported O
Holz O O reported O
beantragt O O reported O
wird O O reported O
. O O reported O
Nach O O reported O
einer O O reported O
ein O O reported O
g O O reported O
ehenden O O reported O
Debatte O O reported O
wurde O O O O
zur O O O O
Abstimmung O O O O
geschritten O O O O
und O O O O
beschlossen O O O O
, O O O O
dem O indirect O O
Forstamtsleiter O indirect O O
mit O indirect O O
dem O indirect O O
Titel O indirect O O
: O indirect O O
„ O indirect O O
Forstmeister O indirect O O
“ O indirect O O
und O indirect O O
mit O indirect O O
dem O indirect O O
Sitze O indirect O O
in O indirect O O
Olmütz O indirect O O
anzustellen O indirect O O
, O indirect O O
demselben O indirect O O
einen O indirect O O
Jahresgehalt O indirect O O
von O indirect O O
1600 O indirect O O
fl. O indirect O O
und O indirect O O
36 O indirect O O
Rmtr. O indirect O O
Holz O indirect O O
( O indirect O O
½ O indirect O O
hartes O indirect O O
und O indirect O O
½ O indirect O O
weiches O indirect O O
) O indirect O O
zuzuwiesen O indirect O O
. O indirect O O
Ueber O O O O
Antrag O O reported O
des O O reported O
Herrn O O reported O
Dr. O O reported O
Schöffl O O reported O
wurde O O O O
weiter O O O O
beschlossen O O O O
: O O O O
Mit O indirect O O
der O indirect O O
beantragten O indirect O O
Pensionirung O indirect O O
des O indirect O O
Försters O indirect O O
Schmatelka O indirect O O
und O indirect O O
mit O indirect O O
der O indirect O O
Anstellung O indirect O O
eines O indirect O O
ForstamtsAdjuncten O indirect O O
innezuhalten O indirect O O
, O indirect O O
bis O indirect O O
der O indirect O O
neue O indirect O O
Forstmeister O indirect O O
angestellt O indirect O O
und O indirect O O
sein O indirect O O
dießfälliges O indirect O O
Gutachten O indirect O O
abgegeben O indirect O O
haben O indirect O O
wird O indirect O O
. O indirect O O
Weiter O O O O
wurden O O O O
folgende O O O O
Beschlüsse O O O O
gefaßt O O O O
: O O O O
a O O O O
) O O O O
die O O O O
normalmäßige O O O O
Pensionirung O O O O
des O O O O
Registrators O O O O
, O O O O
Herrn O O O O
Eduard O O O O
Mayer O O O O
, O O O O
b O O O O
) O O O O
die O O O O
definitive O O O O
Anstellung O O O O
des O O O O
Franz O O O O
Beck O O O O
in O O O O
der O O O O
bisherigen O O O O
Eigenschaft O O O O
als O O O O
Einreichsprotokollist O O O O
mit O O O O
dem O O O O
Jahresgehalte O O O O
von O O O O
700 O O O O
fl. O O O O
und O O O O
dem O O O O
Anspruche O O O O
auf O O O O
zwei O O O O
Quinquennalzulagen O O O O
. O O O O
Diese O O O O
Gehaltsstufe O O O O
soll O O O O
dem O O O O
Genannten O O O O
vom O O O O
1. O O O O
Juli O O O O
1884 O O O O
an O O O O
zukommen O O O O
. O O O O
c O O O O
) O O O O
Die O O O O
Vorrückung O O O O
des O O O O
bisherigen O O O O
Forstamtskanzlisten O O O O
, O O O O
Anton O O O O
Pastika O O O O
, O O O O
beziehentlich O O O O
die O O O O
Erhöhung O O O O
seines O O O O
Jahresgehaltes O O O O
von O O O O
600 O O O O
fl. O O O O
auf O O O O
700 O O O O
fl. O O O O
ö. O O O O
W. O O O O
vom O O O O
1. O O O O
October O O O O
1884 O O O O
an O O O O
, O O O O
vorbehaltlich O O O O
der O O O O
Verwendung O O O O
des O O O O
Genannten O O O O
auch O O O O
in O O O O
anderen O O O O
Dienstzweigen O O O O
oder O O O O
in O O O O
der O O O O
ForstAmtskanzlei O O O O
. O O O O
Referent O O O O
Herr O O O O
Wödl O O O O
. O O O O
Bericht O O O O
der O O O O
1. O O O O
Section O O O O
über O O O O
das O O O O
mit O O O O
der O O O O
Frau O O O O
Josefa O O O O
Mohapel O O O O
aus O O O O
Hodolein O O O O
aufgenommene O O O O
Protokoll O O O O
, O O O O
bezüglich O O O O
der O O O O
zu O O O O
verpachtenden O O O O
städtischen O O O O
, O O O O
in O O O O
Grügau O O O O
gelegenen O O O O
Aecker O O O O
pr. O O O O
157 O O O O
Joch O O O O
1057 O O O O
Quadrat-Klafter O O O O
. O O O O
Nach O O O O
dem O O O O
Protokoll O O O O
vom O O O O
10. O O O O
September O O O O
l. O O O O
J. O O O O
erklärte O indirect O O
Josefa O indirect O O
Mohapel O indirect O O
, O indirect O O
die O indirect O O
bisher O indirect O O
von O indirect O O
Franz O indirect O O
Pospischil O indirect O O
von O indirect O O
der O indirect O O
Stadtgemeinde O indirect O O
Olmütz O indirect O O
gepachteten O indirect O O
und O indirect O O
in O indirect O O
der O indirect O O
Steuergemeinde O indirect O O
Grügau O indirect O O
gelegenen O indirect O O
Felder O indirect O O
, O indirect O O
genannt O indirect O O
„ O indirect O O
Pauhara O indirect O O
“ O indirect O O
pr O indirect O O
. O indirect O O
157 O indirect O O
Joch O indirect O O
1057 O indirect O O
QuadratKlafter O indirect O O
auf O indirect O O
die O indirect O O
noch O indirect O O
weiter O indirect O O
laufende O indirect O O
Pachtdauer O indirect O O
von O indirect O O
7 O indirect O O
Jahren O indirect O O
, O indirect O O
das O indirect O O
ist O indirect O O
vom O indirect O O
1. O indirect O O
Oktober O indirect O O
1884 O indirect O O
bis O indirect O O
Ende O indirect O O
September O indirect O O
1891 O indirect O O
unter O indirect O O
den O indirect O O
bisher O indirect O O
bestandenen O indirect O O
Bedingungen O indirect O O
und O indirect O O
Pachtzinszahlung O indirect O O
von O indirect O O
27 O indirect O O
fl O indirect O O
ö O indirect O O
. O indirect O O
Währ. O indirect O O
pr. O indirect O O
Joch O indirect O O
und O indirect O O
Jahr O indirect O O
auf O indirect O O
eigene O indirect O O
Rechnung O indirect O O
und O indirect O O
Gefahr O indirect O O
in O indirect O O
Pacht O indirect O O
zu O indirect O O
nehmen O indirect O O
. O indirect O O
— O O O O
Hierauf O O O O
wurde O O O O
die O O O O
Zustimmung O O O O
zum O O O O
Abschlusse O O O O
eines O O O O
Pachtvertrages O O O O
mit O O O O
Frau O O O O
Josefa O O O O
Mohapel O O O O
in O O O O
dem O O O O
oben O O O O
erwähnten O O O O
Sinne O O O O
gegeben O O O O
. O O O O
Schluß O O O O
der O O O O
Sitzung O O O O
nach O O O O
6 O O O O
Uhr O O O O
. O O O O
