Bei O
Sala O
Tarone O
Die O
Turmuhren O
auf O
dem O
Gensdarmenmarkt O
schlugen O
elf O
, O
als O
die O
Gäste APP
der O
Frau PER
von PER
Carayon PER
auf O
die O
Behrenstraße O
hinaustraten O
und O
nach O
links O
einbiegend O
auf O
die O
Linden O
zuschritten O
. O
Der O
Mond O
hatte O
sich O
verschleiert O
, O
und O
die O
Regenfeuchte O
, O
die O
bereits O
in O
der O
Luft O
lag O
und O
auf O
Wetterumschlag O
deutete O
, O
tat O
allen O
wohl O
. O
An O
der O
Ecke O
der O
Linden O
empfahl O
sich O
Schach PER
, O
allerhand O
Dienstliches O
vorschützend O
, O
während O
Alvensleben PER
, O
Bülow PER
und O
Sander PER
übereinkamen O
, O
noch O
eine O
Stunde O
zu O
plaudern O
. O
» O
Aber O
wo O
? O
« O
fragte O
Bülow PER
, O
der O
im O
ganzen O
nicht O
wählerisch O
war O
, O
aber O
doch O
einen O
Abscheu O
gegen O
Lokale O
hatte O
, O
darin O
ihm O
» O
Aufpasser O
und O
Kellner O
die O
Kehle O
zuschnürten O
« O
. O
» O
Aber O
wo O
? O
« O
wiederholte O
Sander PER
. O
» O
Sieh O
, O
das O
Gute O
liegt O
so O
nah O
« O
, O
und O
wies O
dabei O
auf O
einen O
Eckladen O
, O
über O
dem O
in O
mäßig O
großen O
Buchstaben O
zu O
lesen O
stand O
: O
Italiener- O
, O
Wein- O
und O
Delikatessenhandlung O
von O
Sala O
Tarone O
. O
Da O
schon O
geschlossen O
war O
, O
klopfte O
man O
an O
die O
Haustür O
, O
an O
deren O
einer O
Seite O
sich O
ein O
Einschnitt O
mit O
einer O
Klappe O
befand O
. O
Und O
wirklich O
, O
gleich O
darauf O
öffnete O
sich's O
von O
innen O
, O
ein O
Kopf O
erschien O
am O
Kuckloch O
, O
und O
als O
Alvenslebens PER
Uniform O
über O
den O
Charakter O
der O
etwas O
späten O
Gäste APP
beruhigt O
hatte O
, O
drehte O
sich O
innen O
der O
Schlüssel O
im O
Schloß O
, O
und O
alle O
drei O
traten O
ein O
. O
Aber O
der O
Luftzug O
, O
der O
ging O
, O
löschte O
den O
Blaker O
aus O
, O
den O
der O
Küfer APP
in O
Händen O
hielt O
, O
und O
nur O
eine O
ganz O
im O
Hintergrunde O
, O
dicht O
über O
der O
Hoftür O
, O
schwelende O
Laterne O
gab O
gerade O
noch O
Licht O
genug O
, O
um O
das O
Gefährliche O
der O
Passage O
kenntlich O
zu O
machen O
. O
» O
Ich O
bitte O
Sie O
, O
Bülow PER
, O
was O
sagen O
Sie O
zu O
diesem O
Defilee O
? O
« O
brummte O
Sander PER
, O
sich O
immer O
dünner O
machend O
, O
und O
wirklich O
hieß O
es O
auf O
der O
Hut O
sein O
, O
denn O
in O
Front O
der O
zu O
beiden O
Seiten O
liegenden O
Öl- O
und O
Weinfässer O
standen O
Zitronen- O
und O
Apfelsinenkisten O
, O
