Hier O
sah O
er O
jetzt O
nachdenklich O
auf O
die O
Stelle O
, O
wo O
vor O
einer O
halben O
Stunde O
noch O
die O
Rapssäcke O
gestanden O
hatten O
, O
und O
in O
seinem O
Auge O
lag O
etwas O
, O
als O
wünsch O
er O
, O
sie indirect
stünden indirect
noch indirect
am indirect
selben indirect
Fleck indirect
oder indirect
es indirect
wären indirect
neue indirect
statt indirect
ihrer indirect
aus indirect
dem indirect
Boden indirect
gewachsen indirect
. indirect
Er reported
zählte reported
dann reported
die reported
Fässerreihe reported
, O
rief reported
, reported
im reported
Vorübergehen reported
, reported
einen reported
kurzen reported
Befehl reported
in reported
den reported
Laden reported
hinein reported
und O
trat O
gleich O
danach O
in O
seine O
gegenübergelegene O
Wohnstube O
. O
Diese O
machte O
neben O
ihrem O
wohnlichen O
zugleich O
einen O
eigentümlichen O
Eindruck O
, O
und O
zwar O
, O
weil O
alles O
in O
ihr O
um O
vieles O
besser O
und O
eleganter O
war O
, O
als O
sich O
's O
für O
einen O
Krämer O
und O
Dorfmaterialisten O
schickte O
. O
Die O
zwei O
kleinen O
Sofas O
waren O
mit O
einem O
hellblauen O
Atlasstoff O
bezogen O
, O
und O
an O
dem O
Spiegelpfeiler O
stand O
ein O
schmaler O
Trumeau O
, O
weißlackiert O
und O
mit O
Goldleiste O
. O
Ja freeIndirect
, freeIndirect
das freeIndirect
in freeIndirect
einem freeIndirect
Mahagonirahmen freeIndirect
über freeIndirect
dem freeIndirect
kleinen freeIndirect
Klavier freeIndirect
hängende freeIndirect
Bild freeIndirect
( freeIndirect
allem freeIndirect
Anscheine freeIndirect
nach freeIndirect
ein freeIndirect
Stich freeIndirect
nach freeIndirect
Claude freeIndirect
Lorrain freeIndirect
) freeIndirect
war freeIndirect
ein freeIndirect
Sonnenuntergang freeIndirect
mit freeIndirect
Tempeltrümmern freeIndirect
und freeIndirect
antiker freeIndirect
Staffage freeIndirect
, O
so O
daß O
man O
sich O
füglich O
fragen O
durfte O
, O
wie indirect
das indirect
alles indirect
hierher indirect
komme indirect
. indirect
Passend O
war O
eigentlich O
nur O
ein O
Stehpult O
mit O
einem O
Gitteraufsatz O
und O
einem O
Kuckloch O
darüber O
, O
mit O
Hilfe O
dessen O
man O
, O
über O
den O
Flur O
weg O
, O
auf O
das O
große O
Schiebefenster O
sehen O
konnte O
. O
Hradscheck O
legte O
die O
Birne O
vor O
sich O
hin O
und O
blätterte O
das O
Kontobuch O
durch O
, O
das O
aufgeschlagen O
auf O
dem O
Pulte O
lag O
. O
Um O
ihn O
her O
war O
alles O
still O
, O
und O
nur O
aus O
der O
halb O
offenstehenden O
Hinterstube O
vernahm O
er O
den O
Schlag O
einer O
Schwarzwälder O
Uhr O
. O
Es O
war O
fast O
, O
als O
ob O
das O
Ticktack O
ihn O
störe O
, O
wenigstens O
ging O
er O
auf O
die O
Tür O
zu O
, O
anscheinend O
, O
um O
sie O
zu O
schließen O
; O
als O
er O
indes O
hineinsah O
, O
nahm O
er O
überrascht O
wahr O
, O
daß indirect
seine indirect
Frau indirect
in indirect
der indirect
Hinterstube indirect
saß indirect
, O
wie O
gewöhnlich O
schwarz O
, O
aber O
sorglich O
gekleidet O
, O
ganz O
wie O
jemand O
, O
der O
sich O
auf O
Figurmachen O
und O
Toilettendinge O
versteht O
. O
Sie O
flocht O
eifrig O
an O
einem O
Kranz O
, O
während O
ein O
zweiter O
, O
schon O
fertiger O
an O
einer O
Stuhllehne O
hing O
. O
» direct
Du direct
hier direct
, direct
Ursel direct
! direct
Und direct
Kränze direct
! direct
Wer direct
hat direct
denn direct
Geburtstag direct
? direct
« direct
» direct
Niemand direct
. direct
Es direct
ist direct
nicht direct
Geburtstag direct
. direct
Es direct
ist direct
bloß direct
Sterbetag direct
, direct
Sterbetag direct
deiner direct
Kinder direct
. direct
Aber direct
du direct
vergißt direct
alles direct
. direct
Bloß direct
dich direct
nicht direct
. direct
« direct
Ach direct
, direct
Ursel direct
, direct
laß direct
doch direct
. direct
Ich direct
habe direct
meinen direct
Kopf direct
voll direct
Wunder direct
. direct
Du direct
mußt direct
mir direct
nicht direct
Vorwürfe direct
machen direct
. direct
Und direct
dann direct
die direct
Kinder direct
. direct
Nun direct
ja direct
, direct
sie direct
sind direct
tot direct
, direct
aber direct
ich direct
kann direct
nicht direct
trauern direct
und direct
klagen direct
, direct
daß direct
sie direct
's direct
sind direct
. direct
Umgekehrt direct
, direct
es direct
ist direct
ein direct
Glück direct
. direct
« direct
» direct
Ich direct
verstehe direct
dich direct
nicht direct
. direct
« direct
» direct
Und direct
ist direct
nur direct
zu direct
gut direct
zu direct
verstehn direct
. direct
Ich direct
weiß direct
nicht direct
aus direct
noch direct
ein direct
und direct
habe direct
Sorgen direct
über direct
Sorgen direct
. direct
« direct
» direct
Worüber direct
? direct
Weil direct
du direct
nichts direct
Rechtes direct
zu direct
tun direct
hast direct
und direct
nicht direct
weißt direct
, direct
wie direct
du direct
den direct
Tag direct
hinbringen direct
sollst direct
. direct
Hinbringen direct
, direct
sag direct
ich direct
, direct
denn direct
ich direct
will direct
dich direct
nicht direct
kränken direct
und direct
von direct
Zeit direct
totschlagen direct
sprechen direct
. direct
Aber direct
sage direct
selbst direct
, direct
wenn direct
drüben direct
die direct
Weinstube direct
voll direct
ist direct
, direct
dann direct
fehlt direct
dir direct
nichts direct
. direct
Ach direct
, direct
das direct
verdammte direct
Spiel direct
, direct
das direct
ewige direct
Knöcheln direct
und direct
Tempeln direct
. direct
Und direct
wenn direct
du direct
noch direct
glücklich direct
spieltest direct
! direct
Ja direct
, direct
Hradscheck direct
, direct
das direct
muß direct
ich direct
dir direct
sagen direct
, direct
wenn direct
du direct
